Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(11),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(1) ROP [kmol/m^2 s],N2O(7) + X(1) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(1) ROP [kmol/m^2 s]
2.9519999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.961,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9699999999999998,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9789999999999996,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9879999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.997,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0059999999999993,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0149999999999992,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.023999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0329999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0419999999999994,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0509999999999993,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.059999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0689999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0779999999999994,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0869999999999993,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.095999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1049999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1139999999999994,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1229999999999993,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1319999999999992,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1409999999999996,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1499999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1589999999999994,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1679999999999993,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.176999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1859999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1949999999999994,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2039999999999993,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.212999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2219999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2309999999999994,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2399999999999993,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.248999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2579999999999996,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2669999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
